[5/15/2026, 12:39:03 PM] SUCCESS - Record 6/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 2 – 3
[5/15/2026, 1:07:11 PM] SUCCESS - Record 31/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 4 kVA, CabE: 2 – 3
[5/15/2026, 1:08:18 PM] SUCCESS - Record 32/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 4 kVA, CabE: 3 – 4
[5/15/2026, 1:09:26 PM] SUCCESS - Record 33/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 4 kVA, CabE: 4 – 5
[5/15/2026, 1:10:34 PM] SUCCESS - Record 34/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 4 kVA, CabE: 5 – 6
[5/15/2026, 1:11:42 PM] SUCCESS - Record 35/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 4 kVA, CabE: 6 – 7
[5/15/2026, 1:12:49 PM] SUCCESS - Record 36/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 5 kVA, CabE: 2 – 3
[5/15/2026, 1:13:57 PM] SUCCESS - Record 37/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 5 kVA, CabE: 3 – 4
[5/15/2026, 1:15:04 PM] SUCCESS - Record 38/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 5 kVA, CabE: 4 – 5
[5/15/2026, 1:16:12 PM] SUCCESS - Record 39/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 5 kVA, CabE: 5 – 6
[5/15/2026, 1:17:19 PM] SUCCESS - Record 40/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 5 kVA, CabE: 6 – 7
[5/15/2026, 1:18:27 PM] SUCCESS - Record 41/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 6 kVA, CabE: 2 – 3
[5/15/2026, 1:19:34 PM] SUCCESS - Record 42/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 6 kVA, CabE: 3 – 4
[5/15/2026, 1:20:41 PM] SUCCESS - Record 43/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 6 kVA, CabE: 4 – 5
[5/15/2026, 1:21:49 PM] SUCCESS - Record 44/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 6 kVA, CabE: 5 – 6
[5/15/2026, 1:22:56 PM] SUCCESS - Record 45/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 6 kVA, CabE: 6 – 7
[5/15/2026, 1:24:04 PM] SUCCESS - Record 46/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 7 kVA, CabE: 2 – 3
[5/15/2026, 1:25:11 PM] SUCCESS - Record 47/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 7 kVA, CabE: 3 – 4
[5/15/2026, 1:26:20 PM] SUCCESS - Record 48/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 7 kVA, CabE: 4 – 5
[5/15/2026, 1:27:28 PM] SUCCESS - Record 49/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 7 kVA, CabE: 5 – 6
[5/15/2026, 1:28:35 PM] SUCCESS - Record 50/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 7 kVA, CabE: 6 – 7
[5/15/2026, 1:29:43 PM] SUCCESS - Record 51/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 3 kVA, CabE: 2 – 3
[5/15/2026, 1:30:50 PM] SUCCESS - Record 52/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 3 kVA, CabE: 3 – 4
[5/15/2026, 1:31:58 PM] SUCCESS - Record 53/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 3 kVA, CabE: 4 – 5
[5/15/2026, 1:33:05 PM] SUCCESS - Record 54/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 3 kVA, CabE: 5 – 6
[5/15/2026, 1:34:13 PM] SUCCESS - Record 55/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 3 kVA, CabE: 6 – 7
[5/15/2026, 1:35:20 PM] SUCCESS - Record 56/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 4 kVA, CabE: 2 – 3
[5/15/2026, 1:36:28 PM] SUCCESS - Record 57/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 4 kVA, CabE: 3 – 4
[5/15/2026, 1:37:35 PM] SUCCESS - Record 58/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 4 kVA, CabE: 4 – 5
[5/15/2026, 1:38:43 PM] SUCCESS - Record 59/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 4 kVA, CabE: 5 – 6
[5/15/2026, 1:39:50 PM] SUCCESS - Record 60/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 4 kVA, CabE: 6 – 7
[5/15/2026, 1:40:57 PM] SUCCESS - Record 61/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 5 kVA, CabE: 2 – 3
[5/15/2026, 1:42:06 PM] SUCCESS - Record 62/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 5 kVA, CabE: 3 – 4
[5/15/2026, 1:43:13 PM] SUCCESS - Record 63/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 5 kVA, CabE: 4 – 5
[5/15/2026, 1:44:21 PM] SUCCESS - Record 64/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 5 kVA, CabE: 5 – 6
[5/15/2026, 1:45:28 PM] SUCCESS - Record 65/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 5 kVA, CabE: 6 – 7
[5/15/2026, 1:46:36 PM] SUCCESS - Record 66/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 6 kVA, CabE: 2 – 3
[5/15/2026, 1:47:43 PM] SUCCESS - Record 67/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 6 kVA, CabE: 3 – 4
[5/15/2026, 1:48:51 PM] SUCCESS - Record 68/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 6 kVA, CabE: 4 – 5
[5/15/2026, 1:49:58 PM] SUCCESS - Record 69/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 6 kVA, CabE: 5 – 6
[5/15/2026, 1:51:06 PM] SUCCESS - Record 70/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 6 kVA, CabE: 6 – 7
[5/15/2026, 1:52:13 PM] SUCCESS - Record 71/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 7 kVA, CabE: 2 – 3
[5/15/2026, 1:53:21 PM] SUCCESS - Record 72/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 7 kVA, CabE: 3 – 4
[5/15/2026, 1:54:29 PM] SUCCESS - Record 73/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 7 kVA, CabE: 4 – 5
[5/15/2026, 1:55:36 PM] SUCCESS - Record 74/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 7 kVA, CabE: 5 – 6
[5/15/2026, 1:56:44 PM] SUCCESS - Record 75/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 7 kVA, CabE: 6 – 7
[5/15/2026, 1:57:53 PM] SUCCESS - Record 76/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 3 kVA, CabE: 2 – 3
[5/15/2026, 1:59:00 PM] SUCCESS - Record 77/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 3 kVA, CabE: 3 – 4
[5/15/2026, 2:00:08 PM] SUCCESS - Record 78/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 3 kVA, CabE: 4 – 5
[5/15/2026, 2:01:15 PM] SUCCESS - Record 79/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 3 kVA, CabE: 5 – 6
[5/15/2026, 2:02:23 PM] SUCCESS - Record 80/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 3 kVA, CabE: 6 – 7
[5/15/2026, 2:03:30 PM] SUCCESS - Record 81/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 4 kVA, CabE: 2 – 3
[5/15/2026, 2:04:38 PM] SUCCESS - Record 82/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 4 kVA, CabE: 3 – 4
[5/15/2026, 2:05:46 PM] SUCCESS - Record 83/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 4 kVA, CabE: 4 – 5
[5/15/2026, 2:06:53 PM] SUCCESS - Record 84/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 4 kVA, CabE: 5 – 6
[5/15/2026, 2:08:01 PM] SUCCESS - Record 85/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 4 kVA, CabE: 6 – 7
[5/15/2026, 2:09:08 PM] SUCCESS - Record 86/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 5 kVA, CabE: 2 – 3
[5/15/2026, 2:10:16 PM] SUCCESS - Record 87/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 5 kVA, CabE: 3 – 4
[5/15/2026, 2:11:23 PM] SUCCESS - Record 88/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 5 kVA, CabE: 4 – 5
[5/15/2026, 2:12:31 PM] SUCCESS - Record 89/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 5 kVA, CabE: 5 – 6
[5/15/2026, 2:13:39 PM] SUCCESS - Record 90/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 5 kVA, CabE: 6 – 7
[5/15/2026, 2:14:47 PM] SUCCESS - Record 91/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 6 kVA, CabE: 2 – 3
[5/15/2026, 2:15:55 PM] SUCCESS - Record 92/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 6 kVA, CabE: 3 – 4
[5/15/2026, 2:17:02 PM] SUCCESS - Record 93/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 6 kVA, CabE: 4 – 5
[5/15/2026, 2:18:10 PM] SUCCESS - Record 94/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 6 kVA, CabE: 5 – 6
[5/15/2026, 2:19:17 PM] SUCCESS - Record 95/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 6 kVA, CabE: 6 – 7
[5/15/2026, 2:20:25 PM] SUCCESS - Record 96/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 7 kVA, CabE: 2 – 3
[5/15/2026, 2:21:32 PM] SUCCESS - Record 97/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 7 kVA, CabE: 3 – 4
[5/15/2026, 2:22:40 PM] SUCCESS - Record 98/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 7 kVA, CabE: 4 – 5
[5/15/2026, 2:23:48 PM] SUCCESS - Record 99/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 7 kVA, CabE: 5 – 6
[5/15/2026, 2:24:55 PM] SUCCESS - Record 100/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 7 kVA, CabE: 6 – 7
[5/15/2026, 2:26:03 PM] SUCCESS - Record 101/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 3 kVA, CabE: 2 – 3
[5/15/2026, 2:27:11 PM] SUCCESS - Record 102/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 3 kVA, CabE: 3 – 4
[5/15/2026, 2:28:18 PM] SUCCESS - Record 103/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 3 kVA, CabE: 4 – 5
[5/15/2026, 2:29:27 PM] SUCCESS - Record 104/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 3 kVA, CabE: 5 – 6
[5/15/2026, 2:30:35 PM] SUCCESS - Record 105/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 3 kVA, CabE: 6 – 7
[5/15/2026, 2:31:42 PM] SUCCESS - Record 106/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 4 kVA, CabE: 2 – 3
[5/15/2026, 2:32:50 PM] SUCCESS - Record 107/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 4 kVA, CabE: 3 – 4
[5/15/2026, 2:33:58 PM] SUCCESS - Record 108/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 4 kVA, CabE: 4 – 5
[5/15/2026, 2:35:05 PM] SUCCESS - Record 109/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 4 kVA, CabE: 5 – 6
[5/15/2026, 2:36:13 PM] SUCCESS - Record 110/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 4 kVA, CabE: 6 – 7
[5/15/2026, 2:37:20 PM] SUCCESS - Record 111/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 5 kVA, CabE: 2 – 3
[5/15/2026, 2:38:28 PM] SUCCESS - Record 112/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 5 kVA, CabE: 3 – 4
[5/15/2026, 2:39:36 PM] SUCCESS - Record 113/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 5 kVA, CabE: 4 – 5
[5/15/2026, 2:40:43 PM] SUCCESS - Record 114/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 5 kVA, CabE: 5 – 6
[5/15/2026, 2:41:51 PM] SUCCESS - Record 115/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 5 kVA, CabE: 6 – 7
[5/15/2026, 2:42:59 PM] SUCCESS - Record 116/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 6 kVA, CabE: 2 – 3
[5/15/2026, 2:44:06 PM] SUCCESS - Record 117/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 6 kVA, CabE: 3 – 4
[5/15/2026, 2:45:15 PM] SUCCESS - Record 118/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 6 kVA, CabE: 4 – 5
[5/15/2026, 2:46:22 PM] SUCCESS - Record 119/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 6 kVA, CabE: 5 – 6
[5/15/2026, 2:47:30 PM] SUCCESS - Record 120/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 6 kVA, CabE: 6 – 7
[5/15/2026, 2:48:38 PM] SUCCESS - Record 121/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 7 kVA, CabE: 2 – 3
[5/15/2026, 2:49:45 PM] SUCCESS - Record 122/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 7 kVA, CabE: 3 – 4
[5/15/2026, 2:50:53 PM] SUCCESS - Record 123/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 7 kVA, CabE: 4 – 5
[5/15/2026, 2:52:01 PM] SUCCESS - Record 124/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 7 kVA, CabE: 5 – 6
[5/15/2026, 2:53:08 PM] SUCCESS - Record 125/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 7 kVA, CabE: 6 – 7
[5/15/2026, 2:54:16 PM] SUCCESS - Record 126/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 600, DrawCap: 3 kVA, CabE: 2 – 3
[5/15/2026, 2:55:24 PM] SUCCESS - Record 127/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 600, DrawCap: 3 kVA, CabE: 3 – 4
[5/15/2026, 2:56:32 PM] SUCCESS - Record 128/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 600, DrawCap: 3 kVA, CabE: 4 – 5
[5/15/2026, 2:57:39 PM] SUCCESS - Record 129/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 600, DrawCap: 3 kVA, CabE: 5 – 6
[5/15/2026, 2:58:47 PM] SUCCESS - Record 130/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 600, DrawCap: 3 kVA, CabE: 6 – 7
[5/15/2026, 2:59:55 PM] SUCCESS - Record 131/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 600, DrawCap: 4 kVA, CabE: 2 – 3
[5/15/2026, 3:01:03 PM] SUCCESS - Record 132/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 600, DrawCap: 4 kVA, CabE: 3 – 4
[5/15/2026, 3:02:11 PM] SUCCESS - Record 133/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 600, DrawCap: 4 kVA, CabE: 4 – 5
[5/15/2026, 3:03:18 PM] SUCCESS - Record 134/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 600, DrawCap: 4 kVA, CabE: 5 – 6
[5/15/2026, 3:04:26 PM] SUCCESS - Record 135/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 600, DrawCap: 4 kVA, CabE: 6 – 7
[5/15/2026, 3:05:34 PM] SUCCESS - Record 136/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 600, DrawCap: 5 kVA, CabE: 2 – 3
[5/15/2026, 3:06:42 PM] SUCCESS - Record 137/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 600, DrawCap: 5 kVA, CabE: 3 – 4
[5/15/2026, 3:07:49 PM] SUCCESS - Record 138/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 600, DrawCap: 5 kVA, CabE: 4 – 5
