[5/15/2026, 12:39:49 PM] SUCCESS - Record 1/200: Product: Half Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 2 – 3
[5/15/2026, 12:58:53 PM] SUCCESS - Record 12/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 3 – 4
[5/15/2026, 1:00:00 PM] SUCCESS - Record 13/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 4 – 5
[5/15/2026, 1:01:08 PM] SUCCESS - Record 14/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 5 – 6
[5/15/2026, 1:02:16 PM] SUCCESS - Record 15/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 6 – 7
[5/15/2026, 1:03:24 PM] SUCCESS - Record 16/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 6 kVA, CabE: 2 – 3
[5/15/2026, 1:04:31 PM] SUCCESS - Record 17/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 6 kVA, CabE: 3 – 4
[5/15/2026, 1:05:39 PM] SUCCESS - Record 18/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 6 kVA, CabE: 4 – 5
[5/15/2026, 1:06:46 PM] SUCCESS - Record 19/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 6 kVA, CabE: 5 – 6
[5/15/2026, 1:07:54 PM] SUCCESS - Record 20/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 6 kVA, CabE: 6 – 7
[5/15/2026, 1:09:02 PM] SUCCESS - Record 21/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 7 kVA, CabE: 2 – 3
[5/15/2026, 1:10:09 PM] SUCCESS - Record 22/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 7 kVA, CabE: 3 – 4
[5/15/2026, 1:11:17 PM] SUCCESS - Record 23/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 7 kVA, CabE: 4 – 5
[5/15/2026, 1:12:24 PM] SUCCESS - Record 24/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 7 kVA, CabE: 5 – 6
[5/15/2026, 1:13:31 PM] SUCCESS - Record 25/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 7 kVA, CabE: 6 – 7
[5/15/2026, 1:14:39 PM] SUCCESS - Record 26/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 3 kVA, CabE: 2 – 3
[5/15/2026, 1:15:46 PM] SUCCESS - Record 27/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 3 kVA, CabE: 3 – 4
[5/15/2026, 1:18:06 PM] SUCCESS - Record 1/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 2 – 3
[5/15/2026, 1:19:14 PM] SUCCESS - Record 2/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 3 – 4
[5/15/2026, 1:20:21 PM] SUCCESS - Record 3/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 4 – 5
[5/15/2026, 1:21:29 PM] SUCCESS - Record 4/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 5 – 6
[5/15/2026, 1:22:36 PM] SUCCESS - Record 5/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 6 – 7
[5/15/2026, 1:23:43 PM] SUCCESS - Record 6/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 2 – 3
[5/15/2026, 1:24:51 PM] SUCCESS - Record 7/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 3 – 4
[5/15/2026, 1:25:58 PM] SUCCESS - Record 8/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 4 – 5
[5/15/2026, 1:27:06 PM] SUCCESS - Record 9/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 5 – 6
[5/15/2026, 1:28:13 PM] SUCCESS - Record 10/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 6 – 7
[5/15/2026, 1:29:20 PM] SUCCESS - Record 11/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 2 – 3
[5/15/2026, 1:30:28 PM] SUCCESS - Record 12/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 3 – 4
[5/15/2026, 1:31:35 PM] SUCCESS - Record 13/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 4 – 5
[5/15/2026, 1:32:43 PM] SUCCESS - Record 14/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 5 – 6
[5/15/2026, 1:33:51 PM] SUCCESS - Record 15/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 6 – 7
[5/15/2026, 1:34:59 PM] SUCCESS - Record 16/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 6 kVA, CabE: 2 – 3
[5/15/2026, 1:36:06 PM] SUCCESS - Record 17/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 6 kVA, CabE: 3 – 4
[5/15/2026, 1:37:14 PM] SUCCESS - Record 18/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 6 kVA, CabE: 4 – 5
[5/15/2026, 1:38:21 PM] SUCCESS - Record 19/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 6 kVA, CabE: 5 – 6
[5/15/2026, 1:39:29 PM] SUCCESS - Record 20/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 6 kVA, CabE: 6 – 7
[5/15/2026, 1:40:36 PM] SUCCESS - Record 21/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 7 kVA, CabE: 2 – 3
[5/15/2026, 1:41:44 PM] SUCCESS - Record 22/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 7 kVA, CabE: 3 – 4
[5/15/2026, 1:42:51 PM] SUCCESS - Record 23/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 7 kVA, CabE: 4 – 5
[5/15/2026, 1:43:59 PM] SUCCESS - Record 24/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 7 kVA, CabE: 5 – 6
[5/15/2026, 1:45:06 PM] SUCCESS - Record 25/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 7 kVA, CabE: 6 – 7
[5/15/2026, 1:46:14 PM] SUCCESS - Record 26/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 3 kVA, CabE: 2 – 3
[5/15/2026, 1:47:21 PM] SUCCESS - Record 27/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 3 kVA, CabE: 3 – 4
[5/15/2026, 1:48:29 PM] SUCCESS - Record 28/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 3 kVA, CabE: 4 – 5
[5/15/2026, 1:49:37 PM] SUCCESS - Record 29/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 3 kVA, CabE: 5 – 6
[5/15/2026, 1:50:45 PM] SUCCESS - Record 30/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 3 kVA, CabE: 6 – 7
[5/15/2026, 1:51:52 PM] SUCCESS - Record 31/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 4 kVA, CabE: 2 – 3
[5/15/2026, 1:53:00 PM] SUCCESS - Record 32/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 4 kVA, CabE: 3 – 4
[5/15/2026, 1:54:07 PM] SUCCESS - Record 33/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 4 kVA, CabE: 4 – 5
[5/15/2026, 1:55:15 PM] SUCCESS - Record 34/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 4 kVA, CabE: 5 – 6
[5/15/2026, 1:56:22 PM] SUCCESS - Record 35/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 4 kVA, CabE: 6 – 7
[5/15/2026, 1:57:29 PM] SUCCESS - Record 36/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 5 kVA, CabE: 2 – 3
[5/15/2026, 1:58:37 PM] SUCCESS - Record 37/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 5 kVA, CabE: 3 – 4
[5/15/2026, 1:59:44 PM] SUCCESS - Record 38/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 5 kVA, CabE: 4 – 5
[5/15/2026, 2:00:52 PM] SUCCESS - Record 39/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 5 kVA, CabE: 5 – 6
[5/15/2026, 2:02:00 PM] SUCCESS - Record 40/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 5 kVA, CabE: 6 – 7
[5/15/2026, 2:03:07 PM] SUCCESS - Record 41/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 6 kVA, CabE: 2 – 3
[5/15/2026, 2:04:15 PM] SUCCESS - Record 42/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 6 kVA, CabE: 3 – 4
[5/15/2026, 2:05:24 PM] SUCCESS - Record 43/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 6 kVA, CabE: 4 – 5
[5/15/2026, 2:06:32 PM] SUCCESS - Record 44/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 6 kVA, CabE: 5 – 6
[5/15/2026, 2:07:39 PM] SUCCESS - Record 45/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 6 kVA, CabE: 6 – 7
[5/15/2026, 2:08:47 PM] SUCCESS - Record 46/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 7 kVA, CabE: 2 – 3
[5/15/2026, 2:09:54 PM] SUCCESS - Record 47/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 7 kVA, CabE: 3 – 4
[5/15/2026, 2:11:01 PM] SUCCESS - Record 48/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 7 kVA, CabE: 4 – 5
[5/15/2026, 2:12:09 PM] SUCCESS - Record 49/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 7 kVA, CabE: 5 – 6
[5/15/2026, 2:13:16 PM] SUCCESS - Record 50/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 7 kVA, CabE: 6 – 7
[5/15/2026, 2:14:24 PM] SUCCESS - Record 51/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 3 kVA, CabE: 2 – 3
[5/15/2026, 2:15:31 PM] SUCCESS - Record 52/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 3 kVA, CabE: 3 – 4
[5/15/2026, 2:16:39 PM] SUCCESS - Record 53/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 3 kVA, CabE: 4 – 5
[5/15/2026, 2:17:46 PM] SUCCESS - Record 54/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 3 kVA, CabE: 5 – 6
[5/15/2026, 2:18:54 PM] SUCCESS - Record 55/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 3 kVA, CabE: 6 – 7
[5/15/2026, 2:20:01 PM] SUCCESS - Record 56/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 4 kVA, CabE: 2 – 3
[5/15/2026, 2:21:10 PM] SUCCESS - Record 57/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 4 kVA, CabE: 3 – 4
[5/15/2026, 2:22:18 PM] SUCCESS - Record 58/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 4 kVA, CabE: 4 – 5
[5/15/2026, 2:23:25 PM] SUCCESS - Record 59/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 4 kVA, CabE: 5 – 6
[5/15/2026, 2:24:33 PM] SUCCESS - Record 60/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 4 kVA, CabE: 6 – 7
[5/15/2026, 2:25:40 PM] SUCCESS - Record 61/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 5 kVA, CabE: 2 – 3
[5/15/2026, 2:26:48 PM] SUCCESS - Record 62/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 5 kVA, CabE: 3 – 4
[5/15/2026, 2:27:55 PM] SUCCESS - Record 63/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 5 kVA, CabE: 4 – 5
[5/15/2026, 2:29:03 PM] SUCCESS - Record 64/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 5 kVA, CabE: 5 – 6
[5/15/2026, 2:30:11 PM] SUCCESS - Record 65/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 5 kVA, CabE: 6 – 7
[5/15/2026, 2:31:18 PM] SUCCESS - Record 66/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 6 kVA, CabE: 2 – 3
[5/15/2026, 2:32:26 PM] SUCCESS - Record 67/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 6 kVA, CabE: 3 – 4
[5/15/2026, 2:33:33 PM] SUCCESS - Record 68/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 6 kVA, CabE: 4 – 5
[5/15/2026, 2:34:41 PM] SUCCESS - Record 69/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 6 kVA, CabE: 5 – 6
[5/15/2026, 2:35:48 PM] SUCCESS - Record 70/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 6 kVA, CabE: 6 – 7
[5/15/2026, 2:36:57 PM] SUCCESS - Record 71/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 7 kVA, CabE: 2 – 3
[5/15/2026, 2:38:04 PM] SUCCESS - Record 72/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 7 kVA, CabE: 3 – 4
[5/15/2026, 2:39:12 PM] SUCCESS - Record 73/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 7 kVA, CabE: 4 – 5
[5/15/2026, 2:40:19 PM] SUCCESS - Record 74/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 7 kVA, CabE: 5 – 6
[5/15/2026, 2:41:27 PM] SUCCESS - Record 75/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 100, DrawCap: 7 kVA, CabE: 6 – 7
[5/15/2026, 2:42:35 PM] SUCCESS - Record 76/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 3 kVA, CabE: 2 – 3
[5/15/2026, 2:43:42 PM] SUCCESS - Record 77/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 3 kVA, CabE: 3 – 4
[5/15/2026, 2:44:50 PM] SUCCESS - Record 78/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 3 kVA, CabE: 4 – 5
[5/15/2026, 2:45:58 PM] SUCCESS - Record 79/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 3 kVA, CabE: 5 – 6
[5/15/2026, 2:47:05 PM] SUCCESS - Record 80/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 3 kVA, CabE: 6 – 7
[5/15/2026, 2:48:13 PM] SUCCESS - Record 81/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 4 kVA, CabE: 2 – 3
[5/15/2026, 2:49:20 PM] SUCCESS - Record 82/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 4 kVA, CabE: 3 – 4
[5/15/2026, 2:50:28 PM] SUCCESS - Record 83/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 4 kVA, CabE: 4 – 5
[5/15/2026, 2:51:36 PM] SUCCESS - Record 84/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 4 kVA, CabE: 5 – 6
[5/15/2026, 2:52:45 PM] SUCCESS - Record 85/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 4 kVA, CabE: 6 – 7
[5/15/2026, 2:53:52 PM] SUCCESS - Record 86/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 5 kVA, CabE: 2 – 3
[5/15/2026, 2:55:00 PM] SUCCESS - Record 87/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 5 kVA, CabE: 3 – 4
[5/15/2026, 2:56:08 PM] SUCCESS - Record 88/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 5 kVA, CabE: 4 – 5
[5/15/2026, 2:57:15 PM] SUCCESS - Record 89/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 5 kVA, CabE: 5 – 6
[5/15/2026, 2:58:23 PM] SUCCESS - Record 90/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 5 kVA, CabE: 6 – 7
[5/15/2026, 2:59:31 PM] SUCCESS - Record 91/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 6 kVA, CabE: 2 – 3
[5/15/2026, 3:00:38 PM] SUCCESS - Record 92/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 6 kVA, CabE: 3 – 4
[5/15/2026, 3:01:46 PM] SUCCESS - Record 93/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 6 kVA, CabE: 4 – 5
[5/15/2026, 3:02:53 PM] SUCCESS - Record 94/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 6 kVA, CabE: 5 – 6
[5/15/2026, 3:04:01 PM] SUCCESS - Record 95/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 6 kVA, CabE: 6 – 7
[5/15/2026, 3:05:08 PM] SUCCESS - Record 96/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 7 kVA, CabE: 2 – 3
[5/15/2026, 3:06:16 PM] SUCCESS - Record 97/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 7 kVA, CabE: 3 – 4
[5/15/2026, 3:07:24 PM] SUCCESS - Record 98/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 7 kVA, CabE: 4 – 5
[5/15/2026, 3:08:34 PM] SUCCESS - Record 99/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 7 kVA, CabE: 5 – 6
[5/15/2026, 3:09:41 PM] SUCCESS - Record 100/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 200, DrawCap: 7 kVA, CabE: 6 – 7
[5/15/2026, 3:10:49 PM] SUCCESS - Record 101/200: Product: Colocation Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 400, DrawCap: 3 kVA, CabE: 2 – 3
